Ecological.Group,Wt.Best_Baseline,Wt.Low_Baseline,Wt.High_Baseline
Alvar species,40,24.444444444444443,48.888888888888886
Artificial structure dependent species,48,37.25,57.5
Bats,38.103448275862064,19.310344827586206,46.37931034482759
Forest species,45,27.857142857142854,55.71428571428571
Mixed forest species,48.4,31.4,59.6
Ciscos,39,30,46
Mussels,46.666666666666664,31.666666666666668,55
Naturalized open habitat species,48.125,34.375,61.875
Oak savannah species,44.166666666666664,29.999999999999996,55
Riparian species,47.5,32.5,57.5
Riverine species,45.57591623036649,32.04188481675393,54.08376963350785
Sandy species,50,33.57142857142857,59.285714285714285
Snakes and lizard,50.55555555555556,35,62.77777777777777
Turtles,39.25,25,49.5
Wetland species,46.5,32.5,55
Working landscapes species,60.625,46.875,68.75
