"Alvar species","Artificial structure dependent spp","Bats","Forest species","Mixed forest species","Ciscos","Mussels","Naturalized open habitat spp","Oak savannah species","Riparian species","Riverine species","Sandy species","Snakes and lizard","Turtles","Wetland species","Working landscapes species"
24,37,19,28,31,30,32,34,30,32,32,34,35,25,32,47
26,37,20,35,38,30,32,39,38,34,35,40,38,30,37,47
32,48,24,37,38,30,39,42,38,37,39,41,41,32,41,53
35,41,23,36,37,32,35,40,37,38,37,40,41,33,40,50
35,38,22,37,38,31,35,42,37,41,38,44,42,34,42,49
24,37,19,30,35,31,36,36,30,33,42,34,45,41,37,47
28,37,28,35,36,34,38,38,34,36,36,39,38,29,38,48
31,45,23,44,42,30,36,43,40,43,39,48,45,38,43,52
30,40,21,40,38,32,39,42,34,38,38,40,40,31,41,52
32,46,23,44,43,31,37,43,37,40,41,45,47,42,44,50
42,45,27,47,43,31,38,46,38,42,38,47,44,37,45,50
47,49,29,51,46,31,40,50,40,44,41,50,46,41,47,53
41,43,26,42,41,33,37,44,35,41,39,45,41,35,44,50
32,45,23,45,43,31,36,44,40,40,39,46,43,36,42,50
42,49,25,45,43,34,42,46,39,40,41,43,42,36,45,54
49,50,34,51,47,36,44,52,44,46,44,49,49,42,48,55
